procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 1280624 148120 2025148    0    0   116    93  305  736  8  2 87  3  0
 0  0      0 764480 148128 2029352    0    0     0    32 1400 3256 14  9 76  1  0
 0  0      0 250912 148128 2029492    0    0     0     0 1340 3350 13  9 79  0  0
 3  0   2048 139248 144812 1658636   32 1368   104  2784 2010 4375 14 14 69  4  0
 0  0   2048 119716 144812 1651512   56   32   476    32 1544 4137 15  5 79  1  0
 1  0   8192 187876  86300 1132420    8 6332   264  6332 1987 4150 19 18 62  1  0
 0  5  21004 134760  30020 740748    0 12888  4183 12888 4164 3641 14 15 47 24  0
 1  5  46348 112172   6292 405296  112 25376  5682 26028 2478 4100 13 14 18 54  0
 0 13  86796 130628   1808 333988    4 40104  2751 40104 2043 2305  1  7  6 86  0
 1 11 117516 132708   2020 288880    4 31256  7793 31256 1966 2485  1  7  0 92  0
 0 22 132364 112828   1448 267872   68 14656 10159 14924 2359 2079  0  5  0 95  0
 0 28 159244 112668   1032 256572   72 26788  9204 26808 2486 3065  0  3  0 97  0
 0 23 204044 111196   1376 248032   32 44532  5397 44532 1957 2786  1  6  0 93  0
 0 25 531212 111252   1624 180160  508 398324 58657 398508 20911 22872  0  4  0 95  0
 1 14 660492 122668   2520 198256  508 58312 18585 58312 6133 5996  0  4  9 87  0
 0 15 713740 105544   2244 184076   40 52980  2072 52980 4344 2208  1  5  0 94  0
 0 14 766220 103144   2228 183564   32 53036  1532 53036 5135 2235  0  6  9 86  0
 0 15 821516 102936   1580 175408   32 55220  2320 55332 4289 2248  1  4  5 91  0
 0 20 1205760 145552    708 170768  456 384436 32009 384480 23902 16738  0  4  0 95  0
 1 15 1205504 2533680   1324 185172  308    0 12800     0 1448 1790  0  4  3 94  0
 0 12 799232 4880380   1608 196740  380    0 12328     0 1848 1678  0  3  1 96  0

